bmrs_id,repd_id,name,capacity,turbine_capacity,turbine_count,lon,lat,gen_type
['KTHLW-1'],[4516],Keith Hill Wind Farm,4.5,[0.9],[5.0],-2.82902,55.8263588,onshore wind farm
"['KYPEW-1', 'KPMRW-1']",[4643],Kype Muir Wind Farm,88.4,[3.4],[26.0],-4.0408002,55.625929,onshore wind farm
"['LARYO-1', 'LARYO-2', 'LARYO-3', 'LARYO-4']",[2511],London Array,630,[3.6],[175.0],1.4902724,51.6365324,offshore wind farm
"['LARYO-1', 'LARYO-2', 'LARYO-3', 'LARYO-4']",[2507],London Array,630,[3.6],[175.0],1.495858982,51.62168982,offshore wind farm
['LCLTW-1'],[4123],Lochluichart Wind Farm,51,[3.0],[17.0],-4.8075158,57.6579921,onshore wind farm
"['LNCSO-1', 'LNCSO-2']",[2513],Lincs Wind Farm,270,[3.6],[75.0],0.4904364,53.1859311,offshore wind farm
['MDHLW-1'],"[4627, 4667]",Mid Hill Wind Farm,75.9,"[2.3, 2.3]","[8.0, 25.0]",-2.4841137,56.9652852,onshore wind farm
['MIDMW-1'],[4440],Middle Muir Wind Farm,51,[3.4],[15.0],-3.8105201,55.5076052,onshore wind farm
['MILWW-1'],"[2723, 4682, 3598, 4588]",Millennium Wind Farm,65,"[2.5, 2.5, 2.5]","[6.0, 16.0, 4.0]",-4.8469568,57.135399,onshore wind farm
['MINSW-1'],[4517],Minsca Wind Farm,36.8,[2.3],[16.0],-3.2255703,55.1208024,onshore wind farm
['MKHLW-1'],[3260],Mark Hill Wind Farm,56,[2.3],[24.0],-4.7442317,55.1304546,onshore wind farm
"['MOWEO-1', 'MOWEO-2', 'MOWEO-3']","[2537, 2534, 2536]",Moray East Offshore Wind Farm,950,"[9.5, 9.5, 9.5]","[34.0, 33.0, 33.0]",-3.158582914,58.0546108,offshore wind farm
['MOYEW-1'],[3647],Moy Wind Farm,66,[3.3],[20.0],-4.0137434,57.4099953,onshore wind farm
['MYGPW-1'],[4437],Minnygap Wind Farm,25,[2.5],[10.0],-3.5312527,55.2529026,onshore wind farm
['OMNDO-1'],[2509],Ormonde Wind Farm,150,[5.0],[30.0],-3.4372891,54.089035,offshore wind farm
['PAUHW-1'],[4687],Paul's Hill Wind Farm,65,[2.3],[28.0],-3.4715845,57.4481439,onshore wind farm
['PGBIW-1'],[4434],Pogbie Wind Farm,9.6,"[0.8, 8.5]","[6.0, 6.0]",-2.8397664,55.8213714,onshore wind farm
