bmu,p50_energy_yield,curtailment,GWh/MW,curtailment %,n_data_points,r2,lat,lon,capacity,name,gen_type
RMPNO-1,734.6649976968765,0.23648555000000002,1.8366624942421914,0.03%,55,0.8357950234260834,50.6683775,-0.2791214,400.0,Rampion Wind Farm,offshore wind farm
RMPNO-2,724.9639922380447,0.1733334,1.812409980595112,0.02%,54,0.7830187977104489,50.6683775,-0.2791214,400.0,Rampion Wind Farm,offshore wind farm
RREW-1,220.65795201063156,0.0,1.2681491494863883,0.00%,78,0.515503051661332,54.7534076,-3.7134969,174.0,Robin Rigg Wind Farm,offshore wind farm
RRWW-1,263.48400977253914,0.10134995,1.5142759182329835,0.04%,79,0.6230606411347843,54.7534076,-3.7134969,174.0,Robin Rigg Wind Farm,offshore wind farm
SANQW-1,116.3055208325386,5.143753799999999,3.745749463205752,4.42%,54,0.8544357716920588,55.3446407,-4.0502224,31.05,Sanquhar Community Wind Farm,onshore wind farm
SGRWO-5,356.5083210468292,1.5785089,0.3316356474854225,0.44%,6,0.1111948083298405,56.63550081,-1.926634029,1075.0,Seagreen Wind Farm,offshore wind farm
SGRWO-3,401.35744363069534,2.701288,0.3733557615169259,0.67%,5,0.2807289895048796,56.63550081,-1.926634029,1075.0,Seagreen Wind Farm,offshore wind farm
SGRWO-4,258.20996874570847,3.6235703,0.24019531976344974,1.40%,5,0.4313533277446493,56.63550081,-1.926634029,1075.0,Seagreen Wind Farm,offshore wind farm
SGRWO-6,926.9154540300369,5.0916655,0.8622469339814297,0.55%,5,0.6901821693704835,56.63550081,-1.926634029,1075.0,Seagreen Wind Farm,offshore wind farm
SHRSO-1,528.8169342279434,0.0,1.6681922215392537,0.00%,69,0.9501465076583191,53.1355458,1.1474616,317.0,Sheringham Shoal Offshore Wind Farm,offshore wind farm
SHRSO-2,521.0631071329117,0.0,1.64373219915745,0.00%,71,0.9489918236670577,53.1355458,1.1474616,317.0,Sheringham Shoal Offshore Wind Farm,offshore wind farm
STLGW-1,214.9481536746025,4.67041155,0.9427550599763268,2.17%,56,0.7738726665352098,57.1002503,-4.4399358,228.0,Stronelairg Wind Farm,onshore wind farm
STLGW-2,259.17398327589035,5.48538515,1.1367279968240804,2.12%,55,0.8832758938231142,57.1002503,-4.4399358,228.0,Stronelairg Wind Farm,onshore wind farm
STLGW-3,222.6055200099945,4.1349982,0.9763400000438356,1.86%,53,0.7873210904334066,57.1002503,-4.4399358,228.0,Stronelairg Wind Farm,onshore wind farm
STRNW-1,150.05963760614395,25.500703650000005,2.2165382216564837,16.99%,49,0.8511695145138769,58.4904395,-4.0483493,67.7,Strathy North Wind Farm,onshore wind farm
TDBNW-1,69.35813271254301,0.5002163999999999,2.512975822918225,0.72%,77,0.9169336916240288,55.7691495,-2.8733758,27.6,Toddleburn Wind Farm,onshore wind farm
THNTO-1,368.9849371314049,0.15454990000000002,1.2299497904380163,0.04%,2,0.9999999999999996,51.4308241,1.6287329,300.0,Thanet Wind Farm,offshore wind farm
THNTO-2,341.6494020819664,0.0987375,1.1388313402732213,0.03%,2,1.0,51.4308241,1.6287329,300.0,Thanet Wind Farm,offshore wind farm
TKNWW-1,1495.7128417491913,2.6550751999999997,1.7452891969068742,0.18%,2,1.0,53.4708167,0.845075,857.0,Triton Knoll Wind Farm,offshore wind farm
TLYMW-1,26.493576791137457,0.07612335,1.839831721606768,0.29%,50,0.8991589119817948,56.6711747,-3.2997717,14.4,Tullymurdoch Wind Farm,onshore wind farm
TULWW-1,38.07320833206177,0.5940050000000001,0.8958401960485122,1.56%,51,0.9437701373150097,56.8356287,-2.4046161,42.5,Tullo Wind Farm,onshore wind farm
TULWW-2,50.47066570818424,2.2751568,1.187545075486688,4.51%,78,0.9322494626672428,56.8356287,-2.4046161,42.5,Tullo Wind Farm,onshore wind farm
WDNSO-1,784.8648673295975,0.2984555499999999,2.0176474738550065,0.04%,74,0.9054811610625719,53.9843164,-3.4702945,389.0,West of Duddon Sands Wind Farm,offshore wind farm
WDNSO-2,748.5471707582474,0.20034585,1.9242857860109186,0.03%,77,0.9536506521065682,53.9843164,-3.4702945,389.0,West of Duddon Sands Wind Farm,offshore wind farm
WHIHW-1,99.8300043195486,0.19905040000000002,3.697407567390689,0.20%,47,0.8830394164992713,55.3253487,-4.0232592,27.0,Whiteside Hill Wind Farm,onshore wind farm
WHILW-1,619.4361436963081,2.06710735,1.149232177544171,0.33%,78,0.8668227711881835,55.6741248,-4.2667601,539.0,Whitelee Wind Farm,onshore wind farm
WHILW-2,356.06003898382187,1.3684042,0.6605937643484636,0.38%,78,0.8339992600765659,55.6741248,-4.2667601,539.0,Whitelee Wind Farm,onshore wind farm
WLNYO-2,735.1081041097641,0.7858645499999999,0.7163399962090861,0.11%,68,0.8834930384321499,54.0836666,-3.6821979,1026.2,Walney Wind Farm,offshore wind farm
WLNYO-3,1337.9460105895996,7.516944100000001,1.3037867965207557,0.56%,56,0.9263418933014073,54.0836666,-3.6821979,1026.2,Walney Wind Farm,offshore wind farm
WLNYO-4,1292.0069398880005,10.531856200000002,1.2590206001637112,0.82%,58,0.8386700188354783,54.0836666,-3.6821979,1026.2,Walney Wind Farm,offshore wind farm
WLNYW-1,621.185005068779,0.7387085,0.605325477556791,0.12%,74,0.9331932609164663,54.0836666,-3.6821979,1026.2,Walney Wind Farm,offshore wind farm
WTMSO-1,871.0501413345337,0.07701945,4.147857815878732,0.01%,73,0.9587357080216907,53.8058334,0.14975,210.0,Westermost Rough Wind Farm,offshore wind farm
